frame,head_y
0,676
1,675
2,675
3,675
4,675
5,674
6,674
7,675
8,675
9,675
10,675
11,675
12,675
13,676
14,675
15,676
16,676
17,676
18,675
19,309
20,676
21,675
22,675
23,675
24,676
25,675
26,674
27,675
28,675
29,675
30,675
31,675
32,675
33,675
34,675
35,808
36,808
37,675
38,676
39,676
40,675
41,676
42,676
43,269
44,266
45,
46,675
47,265
48,264
49,264
50,263
51,264
52,263
53,262
54,262
55,261
56,260
57,259
58,256
59,252
60,249
61,246
62,242
63,239
64,816
65,817
66,817
67,817
68,230
69,227
70,819
71,222
72,220
73,218
74,216
75,215
76,213
77,212
78,212
79,209
80,207
81,204
82,203
83,202
84,200
85,200
86,199
87,818
88,200
89,198
90,198
91,
92,
93,
94,
95,197
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,675
111,675
112,
113,676
114,676
115,675
116,675
117,675
118,675
119,675
120,
121,676
122,
123,
124,
125,
126,
127,676
128,
129,
130,
131,
132,
133,675
134,
135,
136,
137,675
138,675
139,675
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,675
169,675
170,
171,676
172,675
173,675
174,675
175,
176,675
177,
178,
179,
180,174
181,173
182,167
183,169
184,169
185,167
186,167
187,166
188,164
189,164
190,164
191,163
192,164
193,164
194,165
195,165
196,165
197,165
198,164
199,161
200,161
201,158
202,159
203,157
204,159
205,159
206,161
207,163
208,161
209,161
210,161
211,675
212,675
213,675
214,871
215,871
216,367
217,675
218,675
219,675
220,675
221,675
222,675
223,676
224,676
225,676
226,676
227,676
228,675
229,675
230,
231,675
232,
233,675
234,676
235,676
236,676
237,676
238,676
239,871
240,747
241,676
242,676
243,676
244,675
245,
